names,values
L-Glutamine,"[2.07235, 2.0853099999999998, 2.10506, 2.11053, 2.11927, 2.12561, 2.13138, 2.14387, 2.15637, 2.1665200000000002, 2.1775700000000002, 2.39712, 2.40897, 2.42088, 2.43401, 2.4463, 2.4597, 2.47133, 2.48418, 3.75054, 3.76, 3.7695199999999995]"
L-Phenylalanine,"[3.09301, 3.1060000000000003, 3.1180000000000003, 3.13099, 3.2543, 3.2626, 3.27929, 3.2875900000000002, 3.9644800000000004, 3.97287, 3.97726, 3.98575, 7.30628, 7.31888, 7.34881, 7.3613, 7.37365, 7.4009, 7.413530000000001, 7.426089999999999]"
Butyric acid,"[0.8690700000000001, 0.8814549999999999, 0.8938209999999999, 1.5152299999999999, 1.5275299999999998, 1.53983, 1.5521399999999999, 1.56446, 1.57677, 2.13122, 2.14345, 2.1556900000000003]"
L-Anserine,"[2.62494, 2.63615, 2.65198, 2.66329, 2.6747099999999997, 2.68139, 2.69338, 2.70554, 2.72053, 2.7325, 3.00733, 3.02263, 3.03308, 3.04826, 3.1685, 3.17985, 3.19168, 3.2027099999999997, 3.20943, 3.2206, 3.22832, 3.23667, 3.75993, 4.47208, 4.4806, 4.487080000000001, 4.49571, 7.05731, 8.16393]"
Ethanol,"[1.15777, 1.1695799999999998, 1.18139, 3.62311, 3.63489, 3.6467400000000003, 3.65856]"
D-Aspartate,"[2.64657, 2.66115, 2.6757299999999997, 2.6903099999999998, 2.7831799999999998, 2.78897, 2.81244, 2.81823, 3.8758199999999996, 3.88151, 3.8903800000000004, 3.89618]"
DL-2-Aminobutyric acid,"[0.9538479999999999, 0.96641, 0.9790059999999999, 1.8355700000000001, 1.8480400000000001, 1.86027, 1.8726200000000002, 1.8807099999999999, 1.88315, 1.88483, 1.88973, 1.89316, 1.89525, 1.90228, 1.91485, 1.92698, 1.93963, 3.69032, 3.70002, 3.7098]"
4-Methyl-2-oxovaleric acid,"[0.9200020000000001, 0.9310149999999999, 2.04022, 2.0514, 2.06262, 2.07387, 2.0851, 2.09635, 2.10759, 2.11879, 2.12994, 2.59341, 2.60521]"
Betaine,"[3.25537, 3.89552]"
L-Tyrosine,"[2.67187, 2.68377, 2.69507, 2.70697, 2.83891, 2.8475099999999998, 2.8622099999999997, 2.87072, 3.4090300000000004, 3.41782, 3.4207400000000003, 3.4295199999999997, 6.58715, 6.599880000000001, 6.988010000000001, 7.0008]"
Formate,[8.44795]
DSS,"[-7.62969e-06, 0.611283, 0.62045, 0.625502, 0.630774, 0.639733, 1.7295200000000002, 1.73848, 1.74291, 1.74955, 1.7569700000000001, 1.7642099999999998, 1.76698, 1.77073, 1.7753299999999999, 1.78433, 2.89405, 2.9073599999999997, 2.92046]"
L_Leucine,"[0.937911, 0.948693, 0.9589290000000001, 1.6230799999999999, 1.63611, 1.6483400000000001, 1.65847, 1.6631099999999999, 1.66683, 1.6772, 1.6819400000000002, 1.68944, 1.6922400000000002, 1.70033, 1.70186, 1.71081, 1.71585, 1.7243, 1.7332, 1.74312, 1.7442400000000002, 1.7578900000000002, 1.7620799999999999, 3.69951, 3.7092099999999997, 3.71464, 3.71884, 3.72557, 3.73386]"
DL-3-Aminoisobutyric acid,"[1.1779, 1.19005, 2.56623, 2.5752599999999997, 2.57838, 2.58736, 2.59044, 2.59255, 2.5995, 2.60153, 2.60468, 2.61365, 2.6168099999999996, 2.62584, 3.00057, 3.0093900000000002, 3.02179, 3.03072, 3.07396, 3.08825, 3.09518, 3.10947]"
Malic acid,"[2.31271, 2.3298799999999997, 2.33839, 2.3555599999999997, 2.62558, 2.63047, 2.65117, 2.65616, 4.2599599999999995, 4.264959999999999, 4.27712, 4.282109999999999]"
Benzoate,"[7.45688, 7.46943, 7.48176, 7.52941, 7.54213, 7.554939999999999, 7.85807, 7.87012]"
Methanol,[3.3414699999999997]
Isobutyric acid,"[1.0433299999999999, 1.05503, 2.33882, 2.35047, 2.3622099999999997, 2.37385, 2.38551, 2.3972599999999997, 2.4089]"
L-Alanine,"[1.46014, 1.4721799999999998, 3.7492699999999997, 3.7613300000000005, 3.7734099999999997, 3.7854699999999997]"
Uridine,"[3.78703, 3.79434, 3.80835, 3.81566, 3.8932900000000004, 3.89795, 3.9146099999999997, 3.9193800000000003, 4.11529, 4.12036, 4.12409, 4.12894, 4.13141, 4.13646, 4.21393, 4.22305, 4.23214, 4.33593, 4.34387, 4.35234, 5.880730000000001, 5.89422, 5.90394, 5.91136, 7.87109, 7.884580000000001]"
Sarcosine,"[2.72562, 3.6015300000000003]"
Fumaric acid,[6.50798]
Glycerol,"[3.5317, 3.54253, 3.5512900000000003, 3.5621199999999997, 3.62629, 3.63345, 3.6458699999999995, 3.6530099999999996, 3.7536, 3.7608300000000003, 3.7644800000000003, 3.76804, 3.7716300000000005, 3.7751900000000003, 3.7787699999999997, 3.78243, 3.78966]"
Glycine,[3.5443]
Creatinine,"[3.03399, 4.04202]"
L-Valine,"[0.974123, 0.986023, 1.02719, 1.03874, 2.2284200000000003, 2.23569, 2.24017, 2.24732, 2.25188, 2.25901, 2.26358, 2.27071, 2.2753099999999997, 2.2824299999999997, 2.28698, 2.29415, 2.2985700000000002, 2.3058400000000003, 3.59539, 3.6024199999999995]"
L-Lysine,"[1.3942700000000001, 1.40563, 1.40793, 1.41114, 1.41628, 1.41969, 1.42248, 1.42579, 1.43082, 1.43369, 1.43592, 1.44166, 1.44346, 1.44845, 1.45088, 1.45385, 1.45868, 1.46481, 1.46881, 1.4754, 1.47889, 1.48222, 1.48603, 1.48971, 1.49173, 1.49679, 1.49956, 1.50295, 1.5067700000000002, 1.51651, 1.52231, 1.52652, 1.53873, 1.55198, 1.66678, 1.67785, 1.6789900000000002, 1.69245, 1.70514, 1.71774, 1.7302799999999998, 1.74226, 1.74415, 1.75774, 1.7694, 1.84055, 1.8503900000000002, 1.86053, 1.8675, 1.8735700000000002, 1.87812, 1.88402, 1.89041, 1.8942599999999998, 1.90058, 1.91173, 1.9177400000000002, 1.9215900000000001, 1.9273, 1.9355099999999998, 1.94497, 1.95461, 2.99936, 3.01201, 3.02461, 3.7378199999999997, 3.7477199999999997, 3.7576400000000003]"
Creatine phosphate,"[3.02903, 3.9362800000000004]"
Myo-Inositol,"[3.2476599999999998, 3.26337, 3.27909, 3.5102, 3.51513, 3.5264599999999997, 3.53139, 3.59168, 3.59326, 3.60894, 3.62446, 4.04169, 4.04661, 4.05156]"
