ppms,values
-3.2386888219442014,-165.44921875
-3.2381997686354262,22.53125
-3.237710715326651,297.2265625
-3.237221662017876,273.9609375
-3.236732608709101,73.58203125
-3.2362435554003257,-146.55078125
-3.2357545020915506,180.4375
-3.2352654487827754,-146.58203125
-3.2347763954740003,104.96875
-3.234287342165225,-196.03125
-3.23379828885645,75.73828125
-3.233309235547675,-156.61328125
-3.2328201822388998,-60.66796875
-3.2323311289301246,-54.92578125
-3.2318420756213495,58.8828125
-3.2313530223125744,35.41796875
-3.2308639690037992,43.0859375
-3.230374915695024,-160.9453125
-3.229885862386249,23.6953125
-3.229396809077474,42.73046875
-3.2289077557686987,-44.65625
-3.2284187024599236,104.875
-3.2279296491511484,161.50390625
-3.2274405958423733,-16.95703125
-3.226951542533598,288.65625
-3.226462489224823,-251.89453125
-3.225973435916048,22.01171875
-3.2254843826072728,-2.57421875
-3.2249953292984976,-44.7890625
-3.2245062759897225,-227.67578125
-3.2240172226809474,16.44921875
-3.2235281693721722,350.6953125
-3.223039116063397,82.515625
-3.222550062754622,-82.71875
-3.222061009445847,234.03515625
-3.2215719561370717,-45.734375
-3.2210829028282966,-426.328125
-3.2205938495195214,111.34765625
-3.2201047962107463,-204.58203125
-3.219615742901971,-461.30859375
-3.219126689593196,-69.75390625
-3.218637636284421,-42.70703125
-3.2181485829756458,-176.9296875
-3.2176595296668706,127.21484375
-3.2171704763580955,-86.09765625
-3.2166814230493204,-338.8359375
-3.2161923697405452,-237.796875
-3.21570331643177,-21.859375
-3.215214263122995,100.98828125
-3.21472520981422,-0.26953125
-3.2142361565054447,223.1015625
-3.2137471031966696,-171.359375
-3.2132580498878944,-1.703125
-3.2127689965791193,-120.65234375
-3.212279943270344,147.9453125
-3.211790889961569,-113.87890625
-3.211301836652794,-136.34765625
-3.2108127833440188,-81.5
-3.2103237300352436,-85.6171875
-3.2098346767264685,336.265625
-3.2093456234176934,21.94921875
-3.2088565701089182,-310.1171875
-3.208367516800143,21.65625
-3.207878463491368,-22.05859375
-3.207389410182593,-187.171875
-3.2069003568738177,308.41796875
-3.2064113035650426,228.94140625
-3.2059222502562674,356.1953125
-3.2054331969474923,-115.3515625
-3.204944143638717,159.91015625
-3.204455090329942,-439.65234375
-3.203966037021167,202.01953125
-3.2034769837123918,114.6796875
-3.2029879304036166,-280.078125
-3.2024988770948415,-116.91015625
-3.2020098237860664,-248.2578125
-3.2015207704772912,-294.25
-3.201031717168516,-160.69921875
-3.200542663859741,-39.96484375
-3.200053610550966,-68.6640625
-3.1995645572421907,-100.11328125
-3.1990755039334156,-59.8359375
-3.1985864506246404,-419.37890625
-3.1980973973158653,23.1015625
-3.19760834400709,-134.50390625
-3.197119290698315,7.69140625
-3.19663023738954,-101.0703125
-3.1961411840807648,38.75390625
-3.1956521307719896,298.96875
-3.1951630774632145,52.6640625
-3.1946740241544394,-430.79296875
-3.194184970845664,24.86328125
-3.193695917536889,-228.7109375
-3.193206864228114,296.328125
-3.192717810919339,-126.453125
-3.1922287576105637,6.34765625
-3.1917397043017885,181.78515625
-3.1912506509930134,-69.1796875
-3.1907615976842383,-53.29296875
-3.190272544375463,295.46484375
-3.189783491066688,-42.95703125
-3.189294437757913,-23.15625
-3.1888053844491377,37.16015625
-3.1883163311403626,105.17578125
-3.1878272778315875,403.23828125
-3.1873382245228123,41.3515625
-3.186849171214037,-190.41796875
-3.186360117905262,-31.56640625
-3.185871064596487,-378.6796875
-3.185382011287712,301.78125
-3.1848929579789367,150.97265625
-3.1844039046701615,-179.140625
-3.1839148513613864,-68.66796875
-3.1834257980526113,163.4765625
-3.182936744743836,314.265625
-3.182447691435061,471.8671875
-3.181958638126286,-420.19921875
-3.1814695848175107,-354.3359375
